address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
1347 Franklin Ave,,N,N,N,,,BRONX    ,Y,N,N,149,N,Bronx,3,16,N,N,,N,N,N,N,N,,N,N,N,Y,N,N,40.832923,N,N,"{'latitude': '40.832923', 'needs_recoding': False, 'longitude': '-73.901054'}",-73.901054,N,N,N,Y,,Morrisania-Melrose                                                         ,163rd Street Improvement Council,N,,,N,7186206007,10456,N,Published,N,N,,N,N,N
333 65th Street,,N,N,N,3058170055,3144156,BROOKLYN ,N,Y,N,70,N,Brooklyn,10,38,N,N,"Our mission is to inspire our youth with the spirit and ideals of good citizenship. Taking advantage of youth energy, enthusiasm and a desire to play ball, we mold and shape their development, encouraging them to become socially, emotionally, physically, and cognitively competent. We train them in the behavior and attitudes necessary for good sportsmanship on and off the field.  The program stresses the development of physical conditioning, teamwork, timelines, preparedness, respect for oneâ€™s self and others, ethnic harmony, improved communication and socialization skills, decision-making, and a healthy respect for rules and fair play.",N,N,N,N,N,,N,N,N,N,N,N,40.638827,N,N,"{'latitude': '40.638827', 'needs_recoding': False, 'longitude': '-74.022721'}",-74.022721,N,N,N,Y,N,Bay Ridge                                                                  ,"68th Precinct Youth Council, Inc.",N,N,,N,7186806179,11220,N,Published,N,N,,N,N,Y
1395 Lexington Ave.,,Y,N,Y,,,,N,N,N,,N,New York,,,N,N,,N,N,Y,N,N,2124155578,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,92nd Street YM-YMHA,N,,,N,2124155500,,N,Published,N,N,http://www.92y.org/,N,N,Y
"125 Broad St., 18th Fl.",,N,Y,N,,,,N,N,N,,N,New York,,,N,N,"The mission of the ACLU LGBT & AIDS Project is the creation of a society in which lesbian,
gay, bisexual and transgender people and people with HIV/AIDS enjoy the basic rights of
equality, privacy and personal autonomy, and freedom of expression and association. This
means an America where people can live openly without discrimination; where thereâ€™s
respect for our identities, relationships and families; and where thereâ€™s fair treatment in
employment, schools, housing, public places, health care and government programs.",N,N,N,N,N,2125492650,N,N,N,N,N,N,,N,Y,,,Y,N,N,Y,N,,ACLU LGBT & AIDS Project,N,N,,N,2125492627,,N,Published,N,N,http://www.aclu.org/lgbt,N,N,N
"127 Broad St., 18th Fl.",,N,Y,N,,,,N,N,N,,N,New York,,,N,N,,N,N,Y,N,N,2125492652,N,N,N,N,Y,N,,Y,N,,,Y,N,N,Y,,,A.C.L.U. Women's Rights Project,N,,,N,2125492668,,N,Published,N,N,http://www.aclu.org/WomensRights/WomensRightsMain.cfm,N,N,N
1414 Wheatley Ave,,N,N,N,,,,N,N,N,,N,Far Rockaway,,,N,N,"Preparing children to succeed in school and in life by readying more young children for kindergarten and bringing older children and youth at risk for school failure back on track for high school graduation.

Building financial stability and independence for families by connecting out-of-school youth with alternative pathways to success, and by increasing the power of working families to earn higher wages and to save for a better future.

Keeping seniors healthy and safe at home by expanding access to the supports they need.",N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,N,N,N,Y,N,,"Action Center for Education and Community Development, Inc",N,N,,N,7183375040,11691,N,Published,Y,N,http://www.theactioncenter.com/,N,N,Y
46-67 W Tremont Avenue,,N,N,N,2028620014,2098721,BRONX    ,Y,N,N,217,Y,Bronx,5,14,N,N,"Adolescent & Family Comprehensive Services, Inc. (AFCS), is an organization committed to building a brighter future for some of the most vulnerable people in our community - our adolescent.

There are countless adolescents throughout our community who find themselves in the precarious position of being pregnant without any resources or support. These individuals are often forced to discontinue their education to work and support their children. AFCS also provides individual and group counseling for at risk young men and young women. 

With your help, AFCS is determined to provide these young people with a future by working with them to reduce pregnancy, sexually transmitted diseases, and decrease dropout rates. This goal is achieved by providing counseling and education, by teaching these youths to make positive choices to achieve success.",N,N,Y,N,N,,N,N,N,N,N,N,40.851686,N,N,"{'latitude': '40.851686', 'needs_recoding': False, 'longitude': '-73.911487'}",-73.911487,N,N,N,Y,N,University Heights-Morris Heights                                          ,"Adolescent and Family Comprehensive Services, Inc.",N,N,,N,7182992327,10453,N,Published,N,N,,N,N,Y
17603 Jamaica Avenue,,N,N,Y,4098120008,4209975,QUEENS   ,N,N,N,468,N,Jamaica,12,27,N,N,,N,N,N,N,N,,N,N,N,N,N,N,40.707941,N,N,"{'latitude': '40.707941', 'needs_recoding': False, 'longitude': '-73.784233'}",-73.784233,N,N,N,Y,,Jamaica                                                                    ,Afrikan Poetry Theatre Inc.,N,,,N,7185233312,11432,N,Published,Y,N,,N,N,N
"42 Broadway, 14th Fl",,N,N,Y,1000220020,1000812,MANHATTAN,N,N,N,9,N,New York,1,1,N,N,"Each of the Five Books of Moses emphasizes dimensions of Jewish life. Genesis (Small Group Bonding), Exodus (The Blessing of Torah), Leviticus (Ritual and Spirituality), Numbers (Making A Better Society), Deuteronomy (Bonding with all types of Jews.) We at CAI are proud of our role as a leading and pro-active egalitarian Conservative congregation that embodies these five principles in a pluralistic manner for all ages and stages of Jewish living. We provide an extraordinary variety of religious, educational, cultural and recreational venues, planned jointly and pro-actively by an exemplary professional staff and an engaged lay leadership. We help our diverse and multi-generational membership to experience Judaism in ways that have personal meaning and promote Jewish values for people moving through the Jewish life cycle. We seek to enable our members to ascend ""the ladder of Jewish commitment"" at their own pace, feeling more and more part of our ""second home"" as a CAI family.",N,N,N,N,N,,N,N,N,N,N,N,40.70627,N,N,"{'latitude': '40.70627', 'needs_recoding': False, 'longitude': '-74.012909'}",-74.012909,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,"Agudath Israel of America Community Services, Inc.",N,N,,N,2127979000,10004,N,Published,N,N,http://www.agudath.org/,N,N,N
"224 West 35th Street, Ste.1102",,N,N,N,1007840060,1014414,MANHATTAN,N,N,N,109,N,New York,5,3,N,N,"The Ali Forney Center (AFC) was started in June of 2002 in response to the lack of safe shelter for LGBT youth in New York City. We are committed to providing these young people with safe, dignified, nurturing environments where their needs can be met, and where they can begin to put their lives back together.

AFC is dedicated to promoting awareness of the plight of homeless LGBT youth in the United States with the goal of generating responses on local and national levels from government funders, foundations, and the LGBT community.",N,N,N,N,N,,N,N,Y,N,N,N,40.752034,N,Y,"{'latitude': '40.752034', 'needs_recoding': False, 'longitude': '-73.991053'}",-73.991053,Y,N,N,Y,N,Midtown-Midtown South                                                      ,Ali Forney Center,N,N,,N,2122223427,10001,N,Published,N,N,http://www.aliforneycenter.org/,N,N,N
"2410 Amsterdam Avenue, 4th Fl",,N,N,N,1021520048,1063604,MANHATTAN,N,N,N,261,N,New York,12,10,N,Y,"Alianza Dominicana, Inc. is a non-profit community development organization that patterns with youth, families, and public and private institutions to revitalize economically distressed neighborhoods.  Our mission is to assist children, youth and familes break the cycle of poverty and fulfill their potential as members of the global economy.  We are committed to our goals and hope that we can further continue to fulfill them through our new online presence.",N,N,N,N,N,,N,N,N,N,N,N,40.847177,N,N,"{'latitude': '40.847177', 'needs_recoding': False, 'longitude': '-73.93159'}",-73.93159,Y,N,N,Y,N,Washington Heights South                                                   ,"Alianza Dominicana, Inc.",N,N,,N,2127401960,10033,N,Published,N,N,,N,N,N
15 Rutherford Place,,N,N,N,,,,N,N,N,,N,New York,,,Y,Y,Conflict Resolution Program,N,N,N,N,N,2125294603,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,American Friends Service Committee - Conflict Resolution Program,N,,,N,2125980950,,N,Published,N,N,http://www.afsc.org/nymetro,N,N,N
292 Court Street,,N,N,Y,3003260058,3004040,BROOKLYN ,N,Y,N,67,N,Brooklyn,6,39,Y,N,,N,N,N,N,N,,N,N,N,N,N,N,40.684137,N,N,"{'latitude': '40.684137', 'needs_recoding': False, 'longitude': '-73.995053'}",-73.995053,N,N,N,Y,,Carroll Gardens-Columbia Street-Red Hook                                   ,"American Italian Coalition of Organizations, Inc.",N,,,N,7182563445,11231,N,Published,N,N,,N,N,N
110-15 164th Place,,N,N,N,4101930001,4216947,QUEENS   ,N,N,N,264,Y,Jamaica,12,27,N,N,"The preschool offers an early childhood educational and recreational program, including a computer education program. The after-school (educational) provides homework assistance.",N,N,Y,N,N,7185261527,N,N,N,N,N,N,40.693627,N,N,"{'latitude': '40.693627', 'needs_recoding': False, 'longitude': '-73.786987'}",-73.786987,N,N,N,Y,N,South Jamaica                                                              ,"Amistad Early Childhood Educational Center, Inc.",N,N,,N,7182623221,11433,N,Published,Y,N,,N,N,N
817 Broadway,,N,N,Y,,,,N,N,N,,N,New York,,,Y,N,"AMIT enables Israel's youth to realize their potential and strengthens Israeli society by educating and nurturing children from diverse backgrounds within a framework of academic excellence, religious values and Zionist ideals.",N,N,N,N,N,2123532312,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,AMIT,N,N,,N,2124774720,,N,Published,N,N,http://www.amitchildren.org,N,N,N
4111 Broadway,,Y,N,N,1021420133,1063501,MANHATTAN,N,N,N,263,N,New York,12,10,N,N,"ARC (Action for the Retired Community) is a not-for profit, neighborhood-based multi-service agency serving the needs of the elderly in northern Manhattan. ARC was founded in 1973. It has always been in the forefront of developing new and innovative programs and resources for the elderly of our community. In addition to its own programs, ARC seeks to identify and respond to the changing needs of senior citizens, thereby enhancing the quality of life for all residents of the area. ARC works cooperatively with other community agencies to enhance the lives of senior citizens. We offer: 

ARC Senior Center 
ARC Adult Day Center 
WHIST Transportation 
Meals on Wheels 
Health Services 
ESL and Citizenship classes",N,N,N,N,N,,N,N,N,N,N,N,40.845128,N,N,"{'latitude': '40.845128', 'needs_recoding': False, 'longitude': '-73.938763'}",-73.938763,Y,N,N,Y,N,Washington Heights South                                                   ,ARC XVI Fort Washington Inc.,N,N,,N,2127815700,10033,N,Published,N,N,http://www.arcseniors.com/home.htm,N,N,N
38-16 30th Avenue,,N,N,Y,,,,N,N,N,,N,Astoria,,,N,N,"Goals of AIWA:

1.To establish contacts with women's organizations, both Armenian and non-Armenian, in the United States, in Armenia, and around the world. 
2.To provide a forum for dialogue and discussion on issues of interest to Armenian women in the fields of education, social welfare, culture, and business. 
3.To gather information about the changing role of women in the world, to monitor the activities of Armenian women, and to establish an Armenian women's archive. 
4.To increase the visibility of Armenian women and to promote their equal role in the community. 
5.To develop a liaison with world news agencies to provide accurate information in the media on Armenia and Armenians. 
6.To sponsor programs and issue publications to further these purposes.",N,N,N,N,N,7187772145,N,N,N,N,N,N,,N,N,,,N,N,N,Y,N,,Armenian International Women's Association,N,N,,N,6179260171,,N,Published,Y,N,http://www.aiwa-net.org,N,N,N
450 Clarkson Avenue,,N,N,N,3048380001,3336186,BROOKLYN ,N,Y,N,816,N,Brooklyn,17,40,N,N,"To reduce morbidity and mortality from disease among the most vulnerable populations
in our urban areas through improved access to care and increased health knowledge by:

â€¢ Preventing illness & disease through health education in traditional and non-traditional settings;

â€¢ Assuring availability of care through training in urban medicine and allied health disciplines;

â€¢ Breaking down institutional and cultural barriers in urban health education and health care through conferences and seminars;

â€¢ Seeking solutions through research; and,

â€¢ Building bridges between the public, private and non-profit sectors through collaborations.",N,N,N,N,N,,N,Y,N,N,N,N,40.655743,N,N,"{'latitude': '40.655743', 'needs_recoding': False, 'longitude': '-73.944598'}",-73.944598,N,N,N,Y,N,East Flatbush-Farragut                                                     ,"Arthur Ashe Institute for Urban Health, Inc",N,N,,N,7182702600,11203,N,Published,N,N,http://www.arthurasheinstitute.org/,N,N,N
